removed,growth_rate,relative_growth
L-histidine,0.6913622454116927,0.9869625199521154
L-methionine,0.6653901084545074,0.9498856822886113
L-cysteine,0.6632513504048465,0.9468324724145254
L-aspartate,0.6688936589151476,0.9548872180455339
glycine,0.674037485606374,0.9622303499377688
L-lysine,0.6941433106586782,0.9909326632200366
