growth_fraction,growth_rate,butyrate_min,butyrate_max
0.0,0.0,0.0,27.2
0.03333333333333333,0.023349831137972548,0.0,27.000687045111402
0.06666666666666667,0.046699662275945096,0.0,26.801374090227927
0.1,0.07004949341391764,0.0,26.602061135340257
0.13333333333333333,0.09339932455189019,0.0,26.40274818045208
0.16666666666666666,0.11674915568986273,0.0,26.203435225567812
0.2,0.14009898682783528,0.0,26.004122270679943
0.23333333333333334,0.16344881796580782,0.0,25.804809315792788
0.26666666666666666,0.18679864910378038,0.0,25.605496360907235
0.3,0.21014848024175292,0.0,25.40618340602154
0.3333333333333333,0.23349831137972546,0.0,25.20687045113546
0.36666666666666664,0.256848142517698,0.0,25.007557496247124
0.4,0.28019797365567056,0.0,24.808244541361052
0.43333333333333335,0.30354780479364313,0.0,24.608931586476324
0.4666666666666667,0.32689763593161564,0.0,24.409618631589804
0.5,0.3502474670695882,0.0,24.21030567670184
0.5333333333333333,0.37359729820756077,0.0,24.010992721815615
0.5666666666666667,0.3969471293455333,0.0,23.811679766930123
0.6,0.42029696048350584,0.0,23.612366812040534
0.6333333333333333,0.44364679162147835,0.0,23.41305385715718
0.6666666666666666,0.4669966227594509,0.0,23.213740902269183
0.7,0.49034645389742343,0.0,23.01442794738159
0.7333333333333333,0.513696285035396,0.0,22.81511499249774
0.7666666666666666,0.5370461161733685,0.0,22.61580203760984
0.8,0.5603959473113411,0.0,22.416489082723686
0.8333333333333334,0.5837457784493137,0.0,22.10092374459686
0.8666666666666667,0.6070956095872863,0.0,21.300636370063824
0.9,0.6304454407252588,0.0,20.20637008131602
0.9333333333333333,0.6537952718632313,0.0,17.724097801716972
0.9666666666666667,0.6771451030012039,4.168179061221823,14.285672723213933
1.0,0.7004949341391764,10.847247645017712,10.847247644747679
