fraction,bad,meg,n_growing,both_grow,min_member_growth
0.1,0.07528136822627995,0.07528136823944057,2,True,0.07528136822627995
0.2,0.15056273646196464,0.15056273646953028,2,True,0.15056273646196464
0.3,0.22584410466522037,0.22584410472695854,2,True,0.22584410466522037
0.4,0.3011254729233589,0.3011254729326152,2,True,0.3011254729233589
0.5,0.37640684115408984,0.3764068411661229,2,True,0.37640684115408984
0.6,0.45168820939522364,0.4516882093886839,2,True,0.4516882093886839
0.7,0.5269695776130371,0.5269695776344104,2,True,0.5269695776130371
0.8,0.6022509458447661,0.6022509458674412,2,True,0.6022509458447661
0.9,0.6775323140842342,0.6775323140900341,2,True,0.6775323140842342
0.95,0.7151729981886936,0.7151729982204496,2,True,0.7151729981886936
1.0,4.325859052423894e-16,1.5056273646374043,1,False,4.325859052423894e-16
