taxon,abundance,growth_rate,reactions,metabolites,taxon_label
bad,0.5,0.7151712830156954,1539,1245,$Bifidobacterium$ adolescentis
meg,0.5,0.7151747133898391,1849,1614,$Megasphaera$ sp. MJR8396C
