medium,growth_rate,total_absolute_flux,mapped_medium_compounds,total_medium_compounds,D-glucose_flux,L-lactate_flux,D-lactate_flux,acetate_flux,butyrate_flux,propionate_flux,formate_flux,succinate_flux,ammonia_flux,hydrogen sulfide_flux,methanethiol_flux,carbon dioxide_flux
Gut-like,0.7004949341391764,561.0990230070561,32,33,-10.0,-10.0,0.0,-5.0,10.847247644628428,11.260544276779532,0.0,0.011866775229206015,1.4722099853107187,1.9319837383157792,1.893059672715012,21.73341844581216
Carbon-rich,1.2006307552265596,897.9872180943546,32,33,-20.0,-10.0,0.0,-5.0,17.198768573208692,11.385652503876681,15.124003203462513,0.020339355234672812,-3.1884684290089744,1.883421832687537,1.8167069601008126,21.482172045204507
AA-rich,0.8327208598725265,688.6881526254666,32,33,-10.0,-10.0,0.0,-5.0,13.54192448720989,13.209416249045619,0.0,0.014106756225042311,9.474339251411575,4.574432155020729,4.278302583904699,30.095978783575735
