compound,compound_name,bad_flux,meg_flux,interaction_class,absolute_exchange
cpd00221,D-lactate,33.61842132826692,-33.61842132826692,Bifidobacterium_provides_to_Megasphaera,67.23684265653384
cpd00067,,36.60156858372983,-12.13577695486304,Bifidobacterium_provides_to_Megasphaera,48.73734553859287
cpd00029,acetate,20.591558861240234,-18.26772942167606,Bifidobacterium_provides_to_Megasphaera,38.859288282916296
cpd00001,,8.453500229703353,28.67624975988408,co_produced,37.12974998958743
cpd00011,,0.7121867095256322,32.3893678408113,co_produced,33.101554550336935
cpd00211,butyrate,0.0,28.523190635794524,Megasphaera_to_medium,28.523190635794524
cpd00027,D-glucose,-16.34932559593013,-3.6506744040698713,co_consumed,20.0
cpd00159,L-lactate,-20.0,0.0,Bifidobacterium_from_medium,20.0
cpd00047,formate,0.0,16.457761562850457,Megasphaera_to_medium,16.457761562850457
cpd00020,,3.1602786369199585,-3.1602786369199585,Bifidobacterium_provides_to_Megasphaera,6.320557273839917
cpd00013,ammonia,0.0,4.045008641167987,Megasphaera_to_medium,4.045008641167987
cpd00060,,-1.1006343778874559,-2.899365622112544,co_consumed,4.0
cpd00033,,-1.2790115727539182,-2.720988427246082,co_consumed,4.0
cpd00084,,-0.05678118150076106,-3.943218818499239,co_consumed,4.0
cpd00041,,-0.5441835088996794,-3.455816491100321,co_consumed,4.0
cpd00239,hydrogen sulfide,0.009514152959276002,3.873777187896105,co_produced,3.883291340855381
cpd00324,methanethiol,0.993754834090498,2.790184221664812,co_produced,3.78393905575531
cpd00071,,-1.754971894391785,1.754971894391785,Megasphaera_provides_to_Bifidobacterium,3.50994378878357
cpd00141,propionate,0.9427268731135534,2.308986438990632,co_produced,3.2517133121041852
cpd00009,,-0.8174901532452008,-0.8476881540680319,co_consumed,1.6651783073132327
cpd00023,,-0.5920921168055889,0.5920921168055889,Megasphaera_provides_to_Bifidobacterium,1.1841842336111779
cpd00035,,0.35860557235097185,-0.35860557235097185,Bifidobacterium_provides_to_Megasphaera,0.7172111447019437
cpd00107,,-0.3489049930957831,0.3489049930957831,Megasphaera_provides_to_Bifidobacterium,0.6978099861915662
cpd00039,,-0.26863994638685673,-0.23296767607817262,co_consumed,0.5016076224650293
cpd00322,,-0.22443337293079144,0.22443337293079144,Megasphaera_provides_to_Bifidobacterium,0.44886674586158287
cpd00132,,0.1636490730733177,-0.1636490730733177,Bifidobacterium_provides_to_Megasphaera,0.3272981461466354
cpd00051,,-0.16050386670202046,0.16050386670202046,Megasphaera_provides_to_Bifidobacterium,0.32100773340404093
cpd00161,,-0.15506305766127454,0.15506305766127454,Megasphaera_provides_to_Bifidobacterium,0.3101261153225491
cpd00066,,-0.14622174297006146,0.14622174297006146,Megasphaera_provides_to_Bifidobacterium,0.2924434859401229
cpd00069,,-0.09215370312764298,0.09215370312764298,Megasphaera_provides_to_Bifidobacterium,0.18430740625528597
cpd00311,,-0.0760430272773173,0.0760430272773173,Megasphaera_provides_to_Bifidobacterium,0.1520860545546346
