Condition,Growth rate (h^-1),D-glucose,L-lactate,Acetate,Butyrate,Propionate,Formate,Succinate,NH3,H2S,Methanethiol,CO2
Gut-like,0.7004949341391764,-10.0,-10.0,-5.0,10.847247644628428,11.260544276779532,0.0,0.011866775229206015,1.4722099853107187,1.9319837383157792,1.893059672715012,21.73341844581216
Carbon-rich,1.2006307552265596,-20.0,-10.0,-5.0,17.198768573208692,11.385652503876681,15.124003203462513,0.020339355234672812,-3.1884684290089744,1.883421832687537,1.8167069601008126,21.482172045204507
AA-rich,0.8327208598725265,-10.0,-10.0,-5.0,13.54192448720989,13.209416249045619,0.0,0.014106756225042311,9.474339251411575,4.574432155020729,4.278302583904699,30.095978783575735
